listed_date,order_book_id
2016-01-04,600540.XSHG
2016-01-04,300328.XSHE
2016-01-04,300369.XSHE
2016-01-04,002043.XSHE
2016-01-04,300413.XSHE
2016-01-04,601919.XSHG
2016-01-04,300230.XSHE
2016-01-04,002347.XSHE
2016-01-04,002301.XSHE
2016-01-04,002424.XSHE
2016-01-04,600290.XSHG
2016-01-04,002027.XSHE
2016-01-04,603128.XSHG
2016-01-04,600037.XSHG
2016-01-04,300429.XSHE
2016-01-04,300117.XSHE
2016-01-04,002328.XSHE
2016-01-04,000790.XSHE
2016-01-04,600077.XSHG
2016-01-04,002489.XSHE
2016-01-04,600896.XSHG
2016-01-04,300327.XSHE
2016-01-04,002289.XSHE
2016-01-04,000912.XSHE
2016-01-04,300263.XSHE
2016-01-04,002115.XSHE
2016-01-04,000524.XSHE
2016-01-04,000902.XSHE
2016-01-04,002110.XSHE
2016-01-04,000728.XSHE
2016-01-04,600818.XSHG
2016-01-04,601011.XSHG
2016-01-04,300396.XSHE
2016-01-04,600652.XSHG
2016-01-04,002197.XSHE
2016-01-04,300434.XSHE
2016-01-04,002017.XSHE
2016-01-04,600633.XSHG
2016-01-04,300386.XSHE
2016-01-04,002172.XSHE
2016-01-04,300367.XSHE
2016-01-04,600293.XSHG
2016-01-04,600242.XSHG
2016-01-04,600074.XSHG
2016-01-04,600277.XSHG
2016-01-04,600577.XSHG
2016-01-04,002285.XSHE
2016-01-04,002215.XSHE
2016-01-04,002208.XSHE
2016-01-04,600273.XSHG
2016-01-04,002661.XSHE
2016-01-04,300296.XSHE
2016-01-04,000678.XSHE
2016-01-04,002738.XSHE
2016-01-04,603979.XSHG
2016-01-04,603688.XSHG
2016-01-04,000885.XSHE
2016-01-04,002596.XSHE
2016-01-04,300221.XSHE
2016-01-04,603566.XSHG
2016-01-04,300174.XSHE
2016-01-04,002527.XSHE
2016-01-04,000750.XSHE
2016-01-04,002446.XSHE
2016-01-04,603788.XSHG
2016-01-04,603025.XSHG
2016-01-04,601038.XSHG
2016-01-04,600634.XSHG
2016-01-04,600539.XSHG
2016-01-04,002061.XSHE
2016-01-04,002771.XSHE
2016-01-04,600770.XSHG
2016-01-04,002361.XSHE
2016-01-04,300129.XSHE
2016-01-04,300287.XSHE
2016-01-04,002421.XSHE
2016-01-04,300435.XSHE
2016-01-04,600797.XSHG
2016-01-04,002690.XSHE
2016-01-04,600532.XSHG
2016-01-04,000792.XSHE
2016-01-04,600796.XSHG
2016-01-04,000633.XSHE
2016-01-04,600629.XSHG
2016-01-04,002184.XSHE
2016-01-04,600624.XSHG
2016-01-04,002605.XSHE
2016-01-04,300126.XSHE
2016-01-04,601515.XSHG
2016-01-04,600581.XSHG
2016-01-04,300389.XSHE
2016-01-04,300467.XSHE
2016-01-04,600884.XSHG
2016-01-04,000610.XSHE
2016-01-04,600543.XSHG
2016-01-04,300217.XSHE
2016-01-04,600158.XSHG
2016-01-04,002169.XSHE
2016-01-04,600613.XSHG
2016-01-04,002135.XSHE
2016-01-04,300164.XSHE
2016-01-04,000913.XSHE
2016-01-04,002681.XSHE
2016-01-04,601311.XSHG
2016-01-04,600739.XSHG
2016-01-04,600580.XSHG
2016-01-04,300219.XSHE
2016-01-04,000850.XSHE
2016-01-04,601016.XSHG
2016-01-04,600571.XSHG
2016-01-04,601901.XSHG
2016-01-04,600249.XSHG
2016-01-04,002412.XSHE
2016-01-04,002515.XSHE
2016-01-04,600776.XSHG
2016-01-04,600419.XSHG
2016-01-04,300183.XSHE
2016-01-04,000420.XSHE
2016-01-04,000955.XSHE
2016-01-04,600385.XSHG
2016-01-04,000611.XSHE
2016-01-04,002131.XSHE
2016-01-04,002559.XSHE
2016-01-04,300086.XSHE
2016-01-04,000862.XSHE
2016-01-04,002140.XSHE
2016-01-04,300041.XSHE
2016-01-04,603599.XSHG
2016-01-04,600351.XSHG
2016-01-04,002074.XSHE
2016-01-04,002668.XSHE
2016-01-04,300138.XSHE
2016-01-04,600850.XSHG
2016-01-04,000532.XSHE
2016-01-04,002755.XSHE
2016-01-04,002757.XSHE
2016-01-04,300458.XSHE
2016-01-04,300253.XSHE
2016-01-04,002087.XSHE
2016-01-04,300022.XSHE
2016-01-04,002358.XSHE
2016-01-04,002343.XSHE
2016-01-04,000670.XSHE
2016-01-04,300240.XSHE
2016-01-04,002675.XSHE
2016-01-04,002763.XSHE
2016-01-04,603939.XSHG
2016-01-04,002545.XSHE
2016-01-04,000032.XSHE
2016-01-04,000679.XSHE
2016-01-04,600426.XSHG
2016-01-04,600520.XSHG
2016-01-04,300292.XSHE
2016-01-04,000507.XSHE
2016-01-04,002626.XSHE
2016-01-04,600346.XSHG
2016-01-04,300147.XSHE
2016-01-04,300228.XSHE
2016-01-04,300134.XSHE
2016-01-04,600517.XSHG
2016-01-04,600658.XSHG
2016-01-04,002718.XSHE
2016-01-04,000078.XSHE
2016-01-04,002104.XSHE
2016-01-04,300285.XSHE
2016-01-04,600173.XSHG
2016-01-04,600531.XSHG
2016-01-04,300358.XSHE
2016-01-04,300168.XSHE
2016-01-04,002098.XSHE
2016-01-04,000408.XSHE
2016-01-04,300030.XSHE
2016-01-04,600331.XSHG
2016-01-04,002331.XSHE
2016-01-04,002767.XSHE
2016-01-04,000668.XSHE
2016-01-04,300432.XSHE
2016-01-04,000933.XSHE
2016-01-04,002420.XSHE
2016-01-04,300488.XSHE
2016-01-04,601866.XSHG
2016-01-04,002021.XSHE
2016-01-04,600993.XSHG
2016-01-04,300330.XSHE
2016-01-04,000797.XSHE
2016-01-04,002492.XSHE
2016-01-04,002651.XSHE
2016-01-04,600596.XSHG
2016-01-04,002178.XSHE
2016-01-04,300482.XSHE
2016-01-04,002459.XSHE
2016-01-04,600267.XSHG
2016-01-04,300139.XSHE
2016-01-04,002019.XSHE
2016-01-04,002001.XSHE
2016-01-04,603026.XSHG
2016-01-04,002550.XSHE
2016-01-04,002280.XSHE
2016-01-04,002555.XSHE
2016-01-04,300074.XSHE
2016-01-04,600962.XSHG
2016-01-04,603169.XSHG
2016-01-04,002278.XSHE
2016-01-04,603918.XSHG
2016-01-04,600549.XSHG
2016-01-04,002022.XSHE
2016-01-04,300473.XSHE
2016-01-04,000043.XSHE
2016-01-04,000823.XSHE
2016-01-04,600616.XSHG
2016-01-04,002753.XSHE
2016-01-04,600513.XSHG
2016-01-04,300064.XSHE
2016-01-04,300421.XSHE
2016-01-04,600152.XSHG
2016-01-04,300340.XSHE
2016-01-04,002407.XSHE
2016-01-04,600162.XSHG
2016-01-04,600206.XSHG
2016-01-04,000591.XSHE
2016-01-04,300224.XSHE
2016-01-04,002417.XSHE
2016-01-04,002699.XSHE
2016-01-04,002233.XSHE
2016-01-04,300073.XSHE
2016-01-04,300237.XSHE
2016-01-04,600370.XSHG
2016-01-04,300182.XSHE
2016-01-04,000404.XSHE
2016-01-04,600493.XSHG
2016-01-04,002745.XSHE
2016-01-04,600381.XSHG
2016-01-04,300233.XSHE
2016-01-04,002192.XSHE
2016-01-04,300120.XSHE
2016-01-04,002673.XSHE
2016-01-04,002222.XSHE
2016-01-04,300368.XSHE
2016-01-04,600421.XSHG
2016-01-04,600800.XSHG
2016-01-04,600719.XSHG
2016-01-04,000695.XSHE
2016-01-04,600358.XSHG
2016-01-04,300318.XSHE
2016-01-04,600738.XSHG
2016-01-04,600874.XSHG
2016-01-04,002477.XSHE
2016-01-04,600805.XSHG
2016-01-04,000923.XSHE
2016-01-04,300226.XSHE
2016-01-04,300236.XSHE
2016-01-04,000017.XSHE
2016-01-04,000665.XSHE
2016-01-04,300166.XSHE
2016-01-04,000554.XSHE
2016-01-04,600081.XSHG
2016-01-04,600510.XSHG
2016-01-04,600689.XSHG
2016-01-04,300371.XSHE
2016-01-04,600681.XSHG
2016-01-04,300155.XSHE
2016-01-04,603306.XSHG
2016-01-04,300050.XSHE
2016-01-04,600702.XSHG
2016-01-04,600121.XSHG
2016-01-04,002210.XSHE
2016-01-04,002177.XSHE
2016-01-04,300423.XSHE
2016-01-04,603020.XSHG
2016-01-04,000815.XSHE
2016-01-04,603015.XSHG
2016-01-04,300480.XSHE
2016-01-04,002511.XSHE
2016-01-04,300455.XSHE
2016-01-04,300040.XSHE
2016-01-04,000659.XSHE
2016-01-04,300343.XSHE
2016-01-04,300312.XSHE
2016-01-04,300348.XSHE
2016-01-04,002543.XSHE
2016-01-04,000996.XSHE
2016-01-04,600444.XSHG
2016-01-04,002136.XSHE
2016-01-04,002315.XSHE
2016-01-04,002541.XSHE
2016-01-04,300241.XSHE
2016-01-04,000558.XSHE
2016-01-04,000609.XSHE
2016-01-04,600090.XSHG
2016-01-04,002490.XSHE
2016-01-04,603085.XSHG
2016-01-04,000576.XSHE
2016-01-04,600679.XSHG
2016-01-04,000417.XSHE
2016-01-04,000915.XSHE
2016-01-04,300463.XSHE
2016-01-04,002185.XSHE
2016-01-04,600888.XSHG
2016-01-04,000511.XSHE
2016-01-04,000890.XSHE
2016-01-04,600302.XSHG
2016-01-04,002117.XSHE
2016-01-04,600080.XSHG
2016-01-04,002751.XSHE
2016-01-04,002057.XSHE
2016-01-04,603885.XSHG
2016-01-04,002521.XSHE
2016-01-04,300212.XSHE
2016-01-04,300406.XSHE
2016-01-04,300297.XSHE
2016-01-04,002635.XSHE
2016-01-04,000975.XSHE
2016-01-04,002714.XSHE
2016-01-04,000525.XSHE
2016-01-04,600704.XSHG
2016-01-04,002518.XSHE
2016-01-04,300106.XSHE
2016-01-04,600203.XSHG
2016-01-04,600117.XSHG
2016-01-04,600545.XSHG
2016-01-04,002666.XSHE
2016-01-04,600179.XSHG
2016-01-04,002298.XSHE
2016-01-04,000818.XSHE
2016-01-04,300215.XSHE
2016-01-04,600641.XSHG
2016-01-04,000158.XSHE
2016-01-04,600883.XSHG
2016-01-04,002752.XSHE
2016-01-04,002346.XSHE
2016-01-04,600592.XSHG
2016-01-04,002303.XSHE
2016-01-04,002095.XSHE
2016-01-04,002144.XSHE
2016-01-04,300097.XSHE
2016-01-04,000090.XSHE
2016-01-04,002464.XSHE
2016-01-04,002279.XSHE
2016-01-04,000812.XSHE
2016-01-04,300411.XSHE
2016-01-04,300075.XSHE
2016-01-04,300171.XSHE
2016-01-04,002685.XSHE
2016-01-04,600877.XSHG
2016-01-04,002384.XSHE
2016-01-04,002088.XSHE
2016-01-04,000021.XSHE
2016-01-04,600217.XSHG
2016-01-04,600318.XSHG
2016-01-04,600063.XSHG
2016-01-04,600736.XSHG
2016-01-04,300362.XSHE
2016-01-04,600981.XSHG
2016-01-04,600503.XSHG
2016-01-04,300444.XSHE
2016-01-04,300381.XSHE
2016-01-04,000009.XSHE
2016-01-04,600183.XSHG
2016-01-04,002607.XSHE
2016-01-04,300370.XSHE
2016-01-04,000798.XSHE
2016-01-04,601689.XSHG
2016-01-04,600516.XSHG
2016-01-04,300321.XSHE
2016-01-04,000970.XSHE
2016-01-04,601599.XSHG
2016-01-04,000799.XSHE
2016-01-04,600295.XSHG
2016-01-04,300083.XSHE
2016-01-04,300345.XSHE
2016-01-04,300380.XSHE
2016-01-04,601126.XSHG
2016-01-04,000661.XSHE
2016-01-04,002276.XSHE
2016-01-04,601106.XSHG
2016-01-04,600792.XSHG
2016-01-04,002160.XSHE
2016-01-04,002528.XSHE
2016-01-04,000004.XSHE
2016-01-04,300412.XSHE
2016-01-04,002336.XSHE
2016-01-04,600701.XSHG
2016-01-04,300239.XSHE
2016-01-04,600636.XSHG
2016-01-04,600326.XSHG
2016-01-04,300273.XSHE
2016-01-04,002364.XSHE
2016-01-04,600712.XSHG
2016-01-04,000413.XSHE
2016-01-04,002305.XSHE
2016-01-04,300256.XSHE
2016-01-04,002363.XSHE
2016-01-04,600432.XSHG
2016-01-04,002574.XSHE
2016-01-04,300399.XSHE
2016-01-04,600992.XSHG
2016-01-04,300364.XSHE
2016-01-04,600872.XSHG
2016-01-04,600026.XSHG
2016-01-04,000516.XSHE
2016-01-04,002709.XSHE
2016-01-04,000691.XSHE
2016-01-04,300170.XSHE
2016-01-04,300417.XSHE
2016-01-04,002580.XSHE
2016-01-04,002396.XSHE
2016-01-04,002410.XSHE
2016-01-04,002030.XSHE
2016-01-04,600745.XSHG
2016-01-04,002176.XSHE
2016-01-04,600764.XSHG
2016-01-04,002148.XSHE
2016-01-04,002034.XSHE
2016-01-04,300227.XSHE
2016-01-04,300416.XSHE
2016-01-04,002674.XSHE
2016-01-04,300254.XSHE
2016-01-04,300302.XSHE
2016-01-04,300299.XSHE
2016-01-04,000541.XSHE
2016-01-04,300206.XSHE
2016-01-04,002059.XSHE
2016-01-04,600803.XSHG
2016-01-04,601107.XSHG
2016-01-04,300346.XSHE
2016-01-04,002445.XSHE
2016-01-04,000751.XSHE
2016-01-04,002428.XSHE
2016-01-04,600297.XSHG
2016-01-04,002308.XSHE
2016-01-04,002457.XSHE
2016-01-04,000851.XSHE
2016-01-04,000029.XSHE
2016-01-04,600673.XSHG
2016-01-04,300177.XSHE
2016-01-04,002748.XSHE
2016-01-04,002146.XSHE
2016-01-04,002399.XSHE
2016-01-04,600889.XSHG
2016-01-04,002093.XSHE
2016-01-04,603009.XSHG
2016-01-04,600742.XSHG
2016-01-04,000785.XSHE
2016-01-04,002193.XSHE
2016-01-04,002214.XSHE
2016-01-04,000521.XSHE
2016-01-04,600791.XSHG
2016-01-04,002721.XSHE
2016-01-04,600339.XSHG
2016-01-04,603636.XSHG
2016-01-04,002637.XSHE
2016-01-04,002273.XSHE
2016-01-04,002642.XSHE
2016-01-04,002636.XSHE
2016-01-04,300305.XSHE
2016-01-04,300112.XSHE
2016-01-04,000868.XSHE
2016-01-04,300388.XSHE
2016-01-04,300447.XSHE
2016-01-04,600210.XSHG
2016-01-04,000705.XSHE
2016-01-04,603355.XSHG
2016-01-04,300427.XSHE
2016-01-04,603003.XSHG
2016-01-04,603678.XSHG
2016-01-04,002026.XSHE
2016-01-04,603199.XSHG
2016-01-04,600129.XSHG
2016-01-04,600643.XSHG
2016-01-04,000960.XSHE
2016-01-04,300338.XSHE
2016-01-04,600091.XSHG
2016-01-04,600619.XSHG
2016-01-04,002351.XSHE
2016-01-04,300395.XSHE
2016-01-04,300445.XSHE
2016-01-04,002031.XSHE
2016-01-04,300383.XSHE
2016-01-04,600651.XSHG
2016-01-04,600861.XSHG
2016-01-04,600476.XSHG
2016-01-04,000514.XSHE
2016-01-04,002076.XSHE
2016-01-04,000715.XSHE
2016-01-04,000671.XSHE
2016-01-04,000701.XSHE
2016-01-04,300303.XSHE
2016-01-04,000698.XSHE
2016-01-04,002670.XSHE
2016-01-04,603011.XSHG
2016-01-04,002746.XSHE
2016-01-04,600119.XSHG
2016-01-04,002613.XSHE
2016-01-04,600668.XSHG
2016-01-04,000601.XSHE
2016-01-04,002163.XSHE
2016-01-04,300438.XSHE
2016-01-04,600301.XSHG
2016-01-04,000059.XSHE
2016-01-04,300390.XSHE
2016-01-04,000401.XSHE
2016-01-04,600716.XSHG
2016-01-04,300290.XSHE
2016-01-04,603997.XSHG
2016-01-04,300260.XSHE
2016-01-04,300130.XSHE
2016-01-04,002557.XSHE
2016-01-04,600536.XSHG
2016-01-04,002712.XSHE
2016-01-04,002610.XSHE
2016-01-04,600100.XSHG
2016-01-04,002376.XSHE
2016-01-04,300178.XSHE
2016-01-04,002238.XSHE
2016-01-04,300231.XSHE
2016-01-04,300245.XSHE
2016-01-04,300307.XSHE
2016-01-04,600790.XSHG
2016-01-04,002609.XSHE
2016-01-04,600393.XSHG
2016-01-04,600783.XSHG
2016-01-04,300140.XSHE
2016-01-04,002529.XSHE
2016-01-04,600197.XSHG
2016-01-04,600336.XSHG
2016-01-04,000587.XSHE
2016-01-04,600975.XSHG
2016-01-04,002581.XSHE
2016-01-04,600694.XSHG
2016-01-04,002679.XSHE
2016-01-04,603021.XSHG
2016-01-04,600756.XSHG
2016-01-04,300282.XSHE
2016-01-04,300403.XSHE
2016-01-04,300216.XSHE
2016-01-04,600355.XSHG
2016-01-04,300487.XSHE
2016-01-04,300232.XSHE
2016-01-04,600555.XSHG
2016-01-04,600392.XSHG
2016-01-04,600387.XSHG
2016-01-04,600599.XSHG
2016-01-04,600784.XSHG
2016-01-04,600084.XSHG
2016-01-04,300489.XSHE
2016-01-04,002005.XSHE
2016-01-04,300152.XSHE
2016-01-04,600209.XSHG
2016-01-04,000536.XSHE
2016-01-04,600193.XSHG
2016-01-04,603005.XSHG
2016-01-04,601002.XSHG
2016-01-04,300016.XSHE
2016-01-04,600360.XSHG
2016-01-04,002156.XSHE
2016-01-04,002657.XSHE
2016-01-04,601198.XSHG
2016-01-04,002667.XSHE
2016-01-04,002274.XSHE
2016-01-04,002290.XSHE
2016-01-04,002325.XSHE
2016-01-04,000638.XSHE
2016-01-04,300315.XSHE
2016-01-04,002339.XSHE
2016-01-04,300457.XSHE
2016-01-04,300339.XSHE
