listed_date,order_book_id
2016-01-04,300148.XSHE
2016-01-04,000971.XSHE
2016-01-04,600258.XSHG
2016-01-04,002150.XSHE
2016-01-04,002109.XSHE
2016-01-04,300209.XSHE
2016-01-04,002468.XSHE
2016-01-04,300194.XSHE
2016-01-04,600671.XSHG
2016-01-04,002247.XSHE
2016-01-05,300047.XSHE
2016-01-05,600463.XSHG
2016-01-05,300148.XSHE
2016-01-05,600677.XSHG
2016-01-05,600868.XSHG
2016-01-05,000971.XSHE
2016-01-05,000048.XSHE
2016-01-05,000667.XSHE
2016-01-05,600498.XSHG
2016-01-05,002615.XSHE
2016-01-05,002401.XSHE
2016-01-05,600841.XSHG
2016-01-05,000020.XSHE
2016-01-05,000561.XSHE
2016-01-05,300209.XSHE
2016-01-05,002501.XSHE
2016-01-05,600855.XSHG
2016-01-05,600822.XSHG
2016-01-05,002468.XSHE
2016-01-05,000932.XSHE
2016-01-05,002677.XSHE
2016-01-05,600184.XSHG
2016-01-05,600406.XSHG
2016-01-05,002009.XSHE
2016-01-05,002768.XSHE
2016-01-05,601700.XSHG
2016-01-05,600732.XSHG
2016-01-05,002730.XSHE
2016-01-05,600178.XSHG
2016-01-05,300194.XSHE
2016-01-05,600816.XSHG
2016-01-05,600671.XSHG
2016-01-05,002102.XSHE
2016-01-05,002247.XSHE
2016-01-05,002395.XSHE
2016-01-05,600399.XSHG
2016-01-05,000519.XSHE
2016-01-05,000838.XSHE
2016-01-05,000597.XSHE
2016-01-05,002012.XSHE
2016-01-05,600665.XSHG
2016-01-05,000520.XSHE
2016-01-05,600175.XSHG
2016-01-05,002200.XSHE
2016-01-05,600618.XSHG
2016-01-05,300443.XSHE
2016-01-05,000418.XSHE
2016-01-05,600161.XSHG
2016-01-05,000795.XSHE
2016-01-05,002423.XSHE
2016-01-05,601890.XSHG
2016-01-05,600966.XSHG
2016-01-05,300300.XSHE
2016-01-05,600836.XSHG
2016-01-05,600569.XSHG
2016-01-05,600988.XSHG
2016-01-06,002043.XSHE
2016-01-06,601666.XSHG
2016-01-06,600397.XSHG
2016-01-06,300148.XSHE
2016-01-06,601898.XSHG
2016-01-06,600677.XSHG
2016-01-06,300434.XSHE
2016-01-06,002654.XSHE
2016-01-06,002661.XSHE
2016-01-06,600868.XSHG
2016-01-06,000678.XSHE
2016-01-06,600403.XSHG
2016-01-06,300160.XSHE
2016-01-06,600770.XSHG
2016-01-06,002086.XSHE
2016-01-06,000971.XSHE
2016-01-06,000048.XSHE
2016-01-06,600581.XSHG
2016-01-06,300465.XSHE
2016-01-06,002338.XSHE
2016-01-06,000983.XSHE
2016-01-06,600997.XSHG
2016-01-06,002155.XSHE
2016-01-06,603300.XSHG
2016-01-06,002355.XSHE
2016-01-06,000933.XSHE
2016-01-06,300329.XSHE
2016-01-06,002452.XSHE
2016-01-06,002019.XSHE
2016-01-06,002615.XSHE
2016-01-06,601005.XSHG
2016-01-06,300368.XSHE
2016-01-06,600448.XSHG
2016-01-06,600546.XSHG
2016-01-06,600121.XSHG
2016-01-06,300343.XSHE
2016-01-06,002750.XSHE
2016-01-06,600123.XSHG
2016-01-06,002639.XSHE
2016-01-06,000552.XSHE
2016-01-06,002095.XSHE
2016-01-06,002279.XSHE
2016-01-06,600425.XSHG
2016-01-06,601225.XSHG
2016-01-06,600792.XSHG
2016-01-06,600508.XSHG
2016-01-06,601015.XSHG
2016-01-06,000723.XSHE
2016-01-06,300302.XSHE
2016-01-06,600782.XSHG
2016-01-06,000932.XSHE
2016-01-06,600395.XSHG
2016-01-06,000514.XSHE
2016-01-06,603993.XSHG
2016-01-06,600019.XSHG
2016-01-06,000401.XSHE
2016-01-06,300310.XSHE
2016-01-06,600355.XSHG
2016-01-06,002768.XSHE
2016-01-06,002617.XSHE
2016-01-06,600022.XSHG
2016-01-06,000897.XSHE
2016-01-06,601003.XSHG
2016-01-06,300114.XSHE
2016-01-06,600732.XSHG
2016-01-06,000025.XSHE
2016-01-06,300441.XSHE
2016-01-06,600005.XSHG
2016-01-06,600826.XSHG
2016-01-06,002599.XSHE
2016-01-06,000709.XSHE
2016-01-06,603611.XSHG
2016-01-06,600157.XSHG
2016-01-06,000937.XSHE
2016-01-06,300033.XSHE
2016-01-06,300418.XSHE
2016-01-06,002702.XSHE
2016-01-06,002330.XSHE
2016-01-06,000807.XSHE
2016-01-06,601101.XSHG
2016-01-06,600188.XSHG
2016-01-06,600808.XSHG
2016-01-06,600126.XSHG
2016-01-06,000760.XSHE
2016-01-06,600671.XSHG
2016-01-06,600279.XSHG
2016-01-06,002247.XSHE
2016-01-06,002655.XSHE
2016-01-06,000595.XSHE
2016-01-06,000519.XSHE
2016-01-06,000710.XSHE
2016-01-06,300119.XSHE
2016-01-06,601001.XSHG
2016-01-06,000838.XSHE
2016-01-06,002128.XSHE
2016-01-06,300198.XSHE
2016-01-06,000573.XSHE
2016-01-06,000533.XSHE
