,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,order_book_id,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
0,AJSP,MainBoard,0000-00-00,XSHG,C14,食品制造业,2015-12-09,603696.XSHG,100.0,ConsumerStaples,必需消费品,Normal,Active,安记食品,CS
1,JLSY,MainBoard,0000-00-00,XSHG,C23,印刷和记录媒介复制业,1994-02-24,600836.XSHG,100.0,Industrials,工业,Normal,Active,界龙实业,CS
2,YHZK,UNKNOWN,0000-00-00,XSHE,C34,通用设备制造业,2016-04-28,002795.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,永和智控,CS
3,BHCX,GEM,0000-00-00,XSHE,C35,专用设备制造业,2012-05-23,300318.XSHE,100.0,Industrials,工业,Normal,Active,博晖创新,CS
4,HBZY,MainBoard,0000-00-00,XSHG,C27,医药制造业,1994-01-14,600812.XSHG,100.0,HealthCare,医疗保健,Normal,Active,华北制药,CS
5,MGMT,UNKNOWN,0000-00-00,XSHE,C38,电气机械及器材制造业,2017-03-06,002851.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,麦格米特,CS
6,WHCC,GEM,0000-00-00,XSHE,C30,非金属矿物制品业,2010-06-25,300089.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,文化长城,CS
7,QZGF,MainBoard,0000-00-00,XSHG,E50,建筑装饰和其他建筑业,2015-03-20,603030.XSHG,100.0,Industrials,工业,Normal,Active,全筑股份,CS
8,TDJS,MainBoard,0000-00-00,XSHG,E48,土木工程建筑业,2002-12-26,600512.XSHG,100.0,Industrials,工业,Normal,Active,腾达建设,CS
9,SYGF,GEM,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2016-11-14,300563.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,神宇股份,CS
10,LSYS,MainBoard,0000-00-00,XSHE,C37,铁路、船舶、航空航天和其它运输设备制造业,1997-03-25,000697.XSHE,100.0,Materials,原材料,Normal,Active,炼石有色,CS
11,KDXC,UNKNOWN,0000-00-00,XSHE,C26,化学原料及化学制品制造业,2012-04-16,002669.XSHE,100.0,Materials,原材料,Normal,Active,康达新材,CS
12,HLGF,UNKNOWN,0000-00-00,XSHE,C32,有色金属冶炼和压延加工业,2008-01-16,002203.XSHE,100.0,Materials,原材料,Normal,Active,海亮股份,CS
13,SYGF,UNKNOWN,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2017-01-19,002841.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,视源股份,CS
14,JLTC,UNKNOWN,0000-00-00,XSHE,C33,金属制品业,2009-12-11,002318.XSHE,100.0,Materials,原材料,Normal,Active,久立特材,CS
